date,open,close,raw_open,raw_close
2021-01-11,350.83,351.62,377.85,378.7
2021-01-12,351.8,351.58,378.89,378.66
2021-01-13,351.61,352.55,378.69,379.7
2021-01-14,353.37,351.51,380.59,378.58
2021-01-15,349.78,348.81,376.72,375.67
2021-01-19,351.29,351.56,378.34,378.64
2021-01-20,353.86,356.35,381.11,383.8
2021-01-21,357,356.68,384.49,384.15
2021-01-22,354.92,355.44,382.25,382.82
2021-01-25,356.23,357.04,383.67,384.54
2021-01-26,357.85,356.31,385.41,383.75
2021-01-27,353.03,347.86,380.22,374.65
2021-01-28,349.45,350.52,376.36,377.52
2021-01-29,348.77,343.67,375.63,370.14
2021-02-01,347,349.13,373.72,376.02
2021-02-02,352.5,353.99,379.65,381.25
2021-02-03,355.09,354.53,382.435,381.84
2021-02-04,355.57,358.5,382.96,386.11
2021-02-05,360.44,359.91,388.2,387.63
2021-02-08,361.43,362.59,389.27,390.52
2021-02-09,361.75,362.4,389.61,390.31
2021-02-10,364.08,362.27,392.12,390.17
2021-02-11,363.26,362.77,391.24,390.71
2021-02-12,361.97,364.65,389.85,392.73
2021-02-16,365.79,364.32,393.96,392.38
2021-02-17,362.5,364.39,390.42,392.45
2021-02-18,361.73,362.87,389.59,390.82
2021-02-19,364.03,362.16,392.07,390.05
2021-02-22,359.38,359.4,387.06,387.08
2021-02-23,357.15,359.81,384.66,387.52
2021-02-24,358.7,363.82,386.33,391.84
2021-02-25,362.49,355.03,390.41,382.37
2021-02-26,356.87,352.84,384.35,380.01
2021-03-01,358.02,361.58,385.59,389.43
2021-03-02,361.94,358.92,389.82,386.56
2021-03-03,358.2,354.13,385.79,381.4
2021-03-04,353.96,349.74,381.22,376.6799
2021-03-05,353.25,356.13,380.46,383.56
2021-03-08,357.15,354.42,384.66,381.72
2021-03-09,358.26,359.45,385.85,387.13
2021-03-10,361.82,361.55,389.69,389.39
2021-03-11,364.18,365.32,392.23,393.46
2021-03-12,364.03,365.83,392.07,394
2021-03-15,366.13,368.13,394.33,396.48
2021-03-16,368.68,367.55,397.07,395.86
2021-03-17,366.32,368.81,394.53,397.21
2021-03-18,366.27,363.53,394.475,391.53
2021-03-19,363.19,362.9,389.88,389.57
2021-03-22,363.33,365.67,390.03,392.55
2021-03-23,365.08,362.95,391.91,389.63
2021-03-24,364.23,361.09,391,387.63
2021-03-25,359.55,363.04,385.98,389.72
2021-03-26,364.16,368.8,390.93,395.91
2021-03-29,367.4,368.66,394.4,395.76
2021-03-30,367.41,367.67,394.42,394.69
2021-03-31,368.27,369.19,395.34,396.33
2021-04-01,371.12,373.18,398.4,400.61
2021-04-05,375.84,378.54,403.46,406.36
2021-04-06,377.98,378.31,405.76,406.12
2021-04-07,378.15,378.75,405.94,406.59
